Country name,Happiness,Satisfaction,Drug addict neighbors,Heavy drinker neighbors,AIDS neighbors,Street alcohol,Drug sales,Government responsibility
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4091709, 5.1504655, 1.2217565, 1.3781222, 1.5079006, 0.0, 0.0, 3.6809788
, 1.7464252, 7.345714, 1.2352381, 1.4323809, 1.5066667, 3.3367815, 3.8132184, 4.4352827
, 2.0960352, 6.394737, 1.2563208, 1.3330427, 1.7689625, 0.0, 0.0, 1.227907
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.236547, 5.638837, 1.1328945, 1.4840364, 1.6582693, 2.625672, 3.519685, 2.6416519
, 1.8058826, 7.8324704, 1.1828471, 1.3415825, 1.7971439, 0.0, 0.0, 5.4583216
, 1.7575151, 6.864, 1.2467532, 1.2807193, 1.6853147, 0.0, 0.0, 5.8837676
, 2.0281694, 6.9248953, 1.386017, 1.3995627, 1.8596603, 3.273939, 3.8407578, 3.7325234
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.1088688, 5.8790684, 1.2329285, 1.277721, 1.5999806, 0.0, 0.0, 3.2004771
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.9294235, 6.887674, 1.3863636, 1.4940711, 1.6916996, 0.0, 0.0, 4.765244
, 2.2742214, 4.8983192, 1.1183333, 1.145, 1.5083333, 0.0, 0.0, 1.6087704
, 2.4356847, 4.986948, 1.1010902, 1.1377602, 1.3379583, 0.0, 0.0, 1.5456432
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.6485196, 7.7216396, 1.14, 1.2685714, 1.887619, 3.3597455, 3.6035821, 5.2785783
, 1.6956922, 7.874035, 1.3677576, 1.6629004, 1.9146936, 0.0, 0.0, 4.049702
, 1.8992765, 6.941805, 1.2255037, 1.2667525, 1.6000365, 3.0053022, 3.8139534, 4.408549
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4455068, 5.625673, 1.2797222, 1.3470031, 1.619508, 2.916129, 3.7539682, 4.413168
, 2.2518382, 6.0667887, 1.2319635, 1.3196347, 1.5625571, 0.0, 0.0, 1.2270577
, 2.044771, 7.165855, 1.3118986, 1.3500816, 1.6712589, 3.5512943, 3.6889565, 4.2243185
, 1.9523898, 7.1380987, 1.4049238, 1.5956788, 1.8191197, 3.3152082, 3.4304235, 4.1996746
, 1.6267012, 7.731764, 1.2740068, 1.519186, 1.9455326, 2.8031826, 3.4902828, 5.8258905
, 1.6563567, 7.9368224, 1.4158938, 1.3615283, 1.9005165, 0.0, 0.0, 4.752484
, 1.6051161, 7.5570602, 1.1585014, 1.3958538, 1.8758641, 0.0, 0.0, 5.9476743
, 1.7016135, 7.335403, 1.1341935, 1.3325729, 1.8361598, 3.3518686, 3.4368446, 6.2059984
