Country name,Happiness,Satisfaction,Drug addict neighbors,Heavy drinker neighbors,AIDS neighbors,Street alcohol,Drug sales,Government responsibility
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4069886, 5.2204804, 1.2047952, 1.3496504, 1.4985015, 0.0, 0.0, 4.022358
, 1.7464252, 7.345714, 1.2352381, 1.4323809, 1.5066667, 3.3367815, 3.8132184, 4.4352827
, 2.0960352, 6.394737, 1.2563208, 1.3330427, 1.7689625, 0.0, 0.0, 1.227907
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.2214994, 5.719059, 1.1327336, 1.5276458, 1.6702788, 2.625672, 3.519685, 2.785659
, 1.8005923, 7.8392506, 1.1794872, 1.3274162, 1.800789, 0.0, 0.0, 5.9524283
, 1.7575151, 6.864, 1.2467532, 1.2807193, 1.6853147, 0.0, 0.0, 5.8837676
, 2.0273414, 6.923911, 1.372272, 1.3715353, 1.8489193, 3.273939, 3.8407578, 4.067006
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.1070552, 5.8820972, 1.2284166, 1.2742643, 1.5989517, 0.0, 0.0, 3.5171385
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.9294235, 6.887674, 1.3863636, 1.4940711, 1.6916996, 0.0, 0.0, 4.765244
, 2.2742214, 4.8983192, 1.1183333, 1.145, 1.5083333, 0.0, 0.0, 1.6087704
, 2.4356847, 4.986948, 1.1010902, 1.1377602, 1.3379583, 0.0, 0.0, 1.5456432
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.6485196, 7.7216396, 1.14, 1.2685714, 1.887619, 3.3597455, 3.6035821, 5.2785783
, 1.6873204, 7.9010344, 1.3710253, 1.6604702, 1.9216657, 0.0, 0.0, 4.3963237
, 1.8873827, 7.016178, 1.226, 1.275, 1.616, 3.0053022, 3.8139534, 4.8626833
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4446964, 5.7533174, 1.2606982, 1.3350226, 1.6272522, 2.916129, 3.7539682, 4.9252176
, 2.2518382, 6.0667887, 1.2319635, 1.3196347, 1.5625571, 0.0, 0.0, 1.2270577
, 2.0332682, 7.24395, 1.31919, 1.3654773, 1.6904532, 3.5512943, 3.6889565, 4.53373
, 1.952347, 7.196668, 1.3891158, 1.6029525, 1.825802, 3.3152082, 3.4304235, 4.2716966
, 1.6225414, 7.7266603, 1.2521579, 1.4913976, 1.947841, 2.8031826, 3.4902828, 6.1466465
, 1.6556548, 7.9262257, 1.402699, 1.3417441, 1.9025201, 0.0, 0.0, 5.1583037
, 1.5745909, 7.5529866, 1.1585014, 1.4092219, 1.8789625, 0.0, 0.0, 5.9476743
, 1.7125856, 7.2986445, 1.1090323, 1.3122542, 1.836225, 3.3518686, 3.4368446, 6.109584
