Country name,Happiness,Satisfaction,Drug addict neighbors,Heavy drinker neighbors,AIDS neighbors,Street alcohol,Drug sales,Government responsibility
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4069886, 5.2204804, 1.2047952, 1.3496504, 1.4985015, 0.0, 0.0, 4.022358
, 1.813787, 7.2090397, 1.2831428, 1.5618286, 1.5972, 3.3367815, 3.8132184, 4.148205
, 2.0960352, 6.394737, 1.2563208, 1.3330427, 1.7689625, 0.0, 0.0, 1.227907
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.176356, 5.959726, 1.1322507, 1.658474, 1.706307, 2.625672, 3.519685, 3.217681
, 1.8005923, 7.8392506, 1.1794872, 1.3274162, 1.800789, 0.0, 0.0, 5.9524283
, 1.7575151, 6.864, 1.2467532, 1.2807193, 1.6853147, 0.0, 0.0, 5.8837676
, 1.9931562, 7.0572476, 1.3501624, 1.493494, 1.843277, 3.273939, 3.8407578, 4.446957
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.101614, 5.891183, 1.2148808, 1.2638941, 1.595865, 0.0, 0.0, 4.4671226
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.9294235, 6.887674, 1.3863636, 1.4940711, 1.6916996, 0.0, 0.0, 4.765244
, 2.2742214, 4.8983192, 1.1183333, 1.145, 1.5083333, 0.0, 0.0, 1.6087704
, 2.4356847, 4.986948, 1.1010902, 1.1377602, 1.3379583, 0.0, 0.0, 1.5456432
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.6827003, 7.6452804, 1.1189204, 1.5032676, 1.8977396, 3.3597455, 3.6035821, 5.4543343
, 1.6705767, 7.9550343, 1.377561, 1.6556097, 1.9356097, 0.0, 0.0, 5.0895667
, 1.8685, 7.035003, 1.2440497, 1.5661933, 1.7557268, 3.0053022, 3.8139534, 4.717517
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.3527267, 6.1345897, 1.2268147, 1.5407429, 1.6860603, 2.916129, 3.7539682, 5.0460677
, 2.2518382, 6.0667887, 1.2319635, 1.3196347, 1.5625571, 0.0, 0.0, 1.2270577
, 2.0081515, 7.2977524, 1.3008485, 1.6401756, 1.7905025, 3.5512943, 3.6889565, 4.318639
, 1.9635637, 7.177993, 1.3351982, 1.7053453, 1.8671799, 3.3152082, 3.4304235, 4.3980865
, 1.6233981, 7.6811066, 1.2410047, 1.6645669, 1.9594761, 2.8031826, 3.4902828, 6.11202
, 1.654251, 7.9050326, 1.3763094, 1.3021756, 1.906527, 0.0, 0.0, 5.969943
, 1.5745909, 7.5529866, 1.1585014, 1.4092219, 1.8789625, 0.0, 0.0, 5.9476743
, 1.7289094, 7.333666, 1.0969176, 1.5631541, 1.8809857, 3.3518686, 3.4368446, 6.157486
