Country name,Happiness,Satisfaction,Drug addict neighbors,Heavy drinker neighbors,AIDS neighbors,Street alcohol,Drug sales,Government responsibility
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.4069886, 5.2204804, 1.2047952, 1.3496504, 1.4985015, 0.0, 0.0, 4.022358
, 1.8811487, 7.0723653, 1.3310477, 1.6912762, 1.6877334, 3.3367815, 3.8132184, 3.861127
, 2.0960352, 6.394737, 1.2563208, 1.3330427, 1.7689625, 0.0, 0.0, 1.227907
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.1462605, 6.1201706, 1.1319287, 1.7456926, 1.7303259, 2.625672, 3.519685, 3.5056953
, 1.8005923, 7.8392506, 1.1794872, 1.3274162, 1.800789, 0.0, 0.0, 5.9524283
, 1.7575151, 6.864, 1.2467532, 1.2807193, 1.6853147, 0.0, 0.0, 5.8837676
, 1.959799, 7.1915684, 1.3417976, 1.6434803, 1.8483756, 3.273939, 3.8407578, 4.492426
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.0998003, 5.894212, 1.2103689, 1.2604374, 1.5948361, 0.0, 0.0, 4.783784
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.9294235, 6.887674, 1.3863636, 1.4940711, 1.6916996, 0.0, 0.0, 4.765244
, 2.2742214, 4.8983192, 1.1183333, 1.145, 1.5083333, 0.0, 0.0, 1.6087704
, 2.4356847, 4.986948, 1.1010902, 1.1377602, 1.3379583, 0.0, 0.0, 1.5456432
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 1.7168809, 7.5689206, 1.0978408, 1.737964, 1.9078604, 3.3597455, 3.6035821, 5.6300907
, 1.6705767, 7.9550343, 1.377561, 1.6556097, 1.9356097, 0.0, 0.0, 5.0895667
, 1.8559114, 7.0475535, 1.2560829, 1.7603223, 1.8488779, 3.0053022, 3.8139534, 4.620739
, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, 2.2914135, 6.3887715, 1.2042257, 1.6778897, 1.7252656, 2.916129, 3.7539682, 5.126634
, 2.2518382, 6.0667887, 1.2319635, 1.3196347, 1.5625571, 0.0, 0.0, 1.2270577
, 1.991407, 7.333621, 1.288621, 1.8233076, 1.8572022, 3.5512943, 3.6889565, 4.175245
, 1.9861681, 6.9063625, 1.2905945, 1.881036, 1.9232063, 3.3152082, 3.4304235, 4.3627787
, 1.6284145, 7.640657, 1.2517003, 1.8655245, 1.9688027, 2.8031826, 3.4902828, 5.7566385
, 1.654251, 7.9050326, 1.3763094, 1.3021756, 1.906527, 0.0, 0.0, 5.969943
, 1.5745909, 7.5529866, 1.1585014, 1.4092219, 1.8789625, 0.0, 0.0, 5.9476743
, 1.734261, 7.4054456, 1.1099643, 1.8343728, 1.925681, 3.3518686, 3.4368446, 6.301803
